,C. Space,Post.,SEN,SPE,ACC,DIC,JAC
0,HSV,w/o,0.8125201059887551,0.9684654474960513,0.9229527511596682,0.8229178226034601,0.7329163091989183
1,HSV,CRF,0.7945393961529156,0.9710155119198098,0.9233480758666992,0.8198438752861315,0.7319300309100571
2,LAB,w/o,0.8079046134233087,0.9719280414373926,0.925578000386556,0.8286023683512969,0.7397801064854759
3,LAB,CRF,0.7612528880376104,0.9717195475323595,0.9239976781209311,0.8035604126086572,0.710667496817323
4,RGB,w/o,0.8141399958532206,0.9718390357990302,0.9245283330281575,0.8308404681222037,0.7425201101894171
5,RGB,CRF,0.7937783719599176,0.9740837158187471,0.9244239781697591,0.8257991089613279,0.7385578380209928
6,RGB-HSV,w/o,0.8188235242821543,0.9680094071047007,0.925756467183431,0.829764414594029,0.7410268792030205
7,RGB-HSV,CRF,0.8002942931150425,0.970067487244574,0.9260084330240886,0.8262331659086101,0.7396746847718246
8,RGB-LAB,w/o,0.8198991265843352,0.9705799294532879,0.9258143895467124,0.834029834484659,0.7470371631953295
9,RGB-LAB,CRF,0.8006768993209139,0.9724705233706231,0.925627560933431,0.8292475489621479,0.7434012564396322
