,C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC
0,HSV,direct_train,w/o,0.02003205523481926,0.005356440276996213,0.0027642524994516554,0.011716830818679339,0.01398128922943078
1,HSV,direct_train,CRF,0.02559009694301602,0.004629674776440916,0.00197411852995656,0.008724611832468029,0.009599282053532925
2,HSV,direct_transfer,w/o,0.03655026271275747,0.019953044043677346,0.014388197519751978,0.013764225907741725,0.014823188761973914
3,HSV,direct_transfer,CRF,0.038085519606930886,0.019771662362922847,0.014174227631880108,0.01590080764587054,0.016207105051290107
4,HSV,fine_tune,w/o,0.0239998471239512,0.004604678585617,0.0015387834925369166,0.004709154769239685,0.006134241951643704
5,HSV,fine_tune,CRF,0.02618621898775642,0.003923514000318703,0.001453190656025563,0.0071079769208665,0.008777049827832057
6,LAB,direct_train,w/o,0.02266179771364829,0.006090153450836216,0.003001895526358265,0.010615656367804704,0.011906181788149362
7,LAB,direct_train,CRF,0.034565068360756394,0.005610808536404887,0.002293592917015787,0.014128097177256516,0.014882152495848422
8,LAB,direct_transfer,w/o,0.04862065808511833,0.030318432936209373,0.022701180714284026,0.024224761825316656,0.02392793385118426
9,LAB,direct_transfer,CRF,0.06215172407238802,0.031583292372022495,0.023080224784937133,0.03482576540996311,0.03133563858397785
10,LAB,fine_tune,w/o,0.020152086321187715,0.005189811219991276,0.002700082599682367,0.006835065638871328,0.00868173275812179
11,LAB,fine_tune,CRF,0.02636238371680588,0.004583481613656566,0.0021693704602538336,0.011785233170608323,0.012700669055471925
12,RGB,direct_train,w/o,0.021454752406832436,0.0038247599857523743,0.0016510373517566858,0.006826037203153463,0.00866743204316783
13,RGB,direct_train,CRF,0.02263709055855762,0.003291051482939751,0.0015773842645415235,0.008852115230036322,0.01112414572645022
14,RGB,direct_transfer,w/o,0.03298907967463432,0.026674271789210526,0.021381789478649563,0.024935742582732734,0.02492221396410276
15,RGB,direct_transfer,CRF,0.03543801695629434,0.028085084192488733,0.02242903736884493,0.026821191240446553,0.026575136169954924
16,RGB,fine_tune,w/o,0.012813963375625683,0.0022316547620676542,0.0015305955697180087,0.0044175837735437465,0.005656818790653582
17,RGB,fine_tune,CRF,0.017310557295399,0.0019408963291756155,0.001350349498623999,0.005518611232548981,0.005237080837818007
18,RGB-HSV,direct_train,w/o,0.03213019440836064,0.00531826294819574,0.0021838293941204598,0.007738215869556447,0.009516648184101653
19,RGB-HSV,direct_train,CRF,0.03895098386241006,0.00464973238279977,0.0017266046673282127,0.010544786106951557,0.011258276021142882
20,RGB-HSV,direct_transfer,w/o,0.023994192120739073,0.016346136843245367,0.0132861596719593,0.020622759163058266,0.021049334117239003
21,RGB-HSV,direct_transfer,CRF,0.02906844221254593,0.017539020485069515,0.014056728331944438,0.021865732708854134,0.021202198649198353
22,RGB-LAB,direct_train,w/o,0.023896280379329882,0.0063464486980405145,0.0030441687396181444,0.006643044202731371,0.008666668706147178
23,RGB-LAB,direct_train,CRF,0.027008212826778517,0.005758949121472747,0.00253757794788176,0.005591401096730175,0.007409953122855092
24,RGB-LAB,direct_transfer,w/o,0.050029833229657275,0.031111938111764596,0.02195747566774816,0.019158805274882822,0.017912961011979974
25,RGB-LAB,direct_transfer,CRF,0.050862098158183267,0.03183517016843474,0.022532967162844475,0.019373474061168783,0.01713654147898773
26,RGB-LAB,fine_tune,w/o,0.026797026757358993,0.005642679962256372,0.0023257313946617375,0.006516834102466531,0.008924310316697518
27,RGB-LAB,fine_tune,CRF,0.029790476304947168,0.004644683811224073,0.0016663908196542265,0.007965836039896545,0.009116153868906799
