,C. Space,Post.,SEN,SPE,ACC,DIC,JAC
0,HSV,w/o,0.01766071542043664,0.004410037229900911,0.0025166608275965004,0.006547495050261928,0.00747440696622801
1,HSV,CRF,0.018383858306510226,0.004080151584973725,0.002613197388753857,0.008628978691955684,0.009711075563206311
2,LAB,w/o,0.019789913081641092,0.004307289394547545,0.002942585749057627,0.009081544182729112,0.010456603812266653
3,LAB,CRF,0.027138384425224264,0.004371595244786213,0.003614413994106641,0.018300289355484375,0.01964168015828798
4,RGB,w/o,0.020383108930319454,0.005406624939560943,0.004503234203444779,0.009231040453678636,0.011479582692250216
5,RGB,CRF,0.020363050287501135,0.004904772116449657,0.004504766971594778,0.010906227200966446,0.013263569509581932
6,RGB-HSV,w/o,0.01485625496590243,0.003515142320845844,0.0031132754923156388,0.009395049706508138,0.010598571628829767
7,RGB-HSV,CRF,0.014814207109726979,0.003300499665984666,0.0031442058273094572,0.011030378671719137,0.011885382073632189
8,RGB-LAB,w/o,0.02222080413929414,0.00631973369132773,0.0042174111079877775,0.009348130180272423,0.010903708346389386
9,RGB-LAB,CRF,0.02224325472815476,0.006233482178876587,0.004297695716981515,0.010972230618938384,0.01284506455686754
