C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC,,,,,,,,,
HSV,direct_train,w/o,0.8818 \pm 0.0200,0.9704 \pm 0.0054,0.9585 \pm 0.0028,0.7967 \pm 0.0117,0.6867 \pm 0.0140,,,,,,,,,
HSV,direct_train,CRF,0.8586 \pm 0.0256,0.9763 \pm 0.0046,0.9620 \pm 0.0020,0.8078 \pm 0.0087,0.7041 \pm 0.0096,,,,,,,,,
HSV,direct_transfer,w/o,0.8404 \pm 0.0366,0.9016 \pm 0.0200,0.8963 \pm 0.0144,0.6704 \pm 0.0138,0.5513 \pm 0.0148,,,,,,,,,
HSV,direct_transfer,CRF,0.8203 \pm 0.0381,0.9098 \pm 0.0198,0.9020 \pm 0.0142,0.6827 \pm 0.0159,0.5704 \pm 0.0162,,,,,,,,,
HSV,fine_tune,w/o,0.8673 \pm 0.0240,0.9756 \pm 0.0046,0.9609 \pm 0.0015,0.8055 \pm 0.0047,0.6988 \pm 0.0061,,,,,,,,,
HSV,fine_tune,CRF,0.8474 \pm 0.0262,0.9805 \pm 0.0039,0.9638 \pm 0.0015,0.8147 \pm 0.0071,0.7133 \pm 0.0088,,,,,,,,,
LAB,direct_train,w/o,0.8901 \pm 0.0227,0.9717 \pm 0.0061,0.9616 \pm 0.0030,0.8186 \pm 0.0106,0.7161 \pm 0.0119,,,,,,,,,
LAB,direct_train,CRF,0.8435 \pm 0.0346,0.9769 \pm 0.0056,0.9632 \pm 0.0023,0.8149 \pm 0.0141,0.7137 \pm 0.0149,,,,,,,,,
LAB,direct_transfer,w/o,0.8378 \pm 0.0486,0.8816 \pm 0.0303,0.8771 \pm 0.0227,0.6518 \pm 0.0242,0.5373 \pm 0.0239,,,,,,,,,
LAB,direct_transfer,CRF,0.7827 \pm 0.0622,0.8868 \pm 0.0316,0.8785 \pm 0.0231,0.6350 \pm 0.0348,0.5269 \pm 0.0313,,,,,,,,,
LAB,fine_tune,w/o,0.8827 \pm 0.0202,0.9748 \pm 0.0052,0.9639 \pm 0.0027,0.8267 \pm 0.0068,0.7266 \pm 0.0087,,,,,,,,,
LAB,fine_tune,CRF,0.8310 \pm 0.0264,0.9794 \pm 0.0046,0.9649 \pm 0.0022,0.8135 \pm 0.0118,0.7141 \pm 0.0127,,,,,,,,,
RGB,direct_train,w/o,0.8914 \pm 0.0215,0.9716 \pm 0.0038,0.9613 \pm 0.0017,0.8168 \pm 0.0068,0.7143 \pm 0.0087,,,,,,,,,
RGB,direct_train,CRF,0.8708 \pm 0.0226,0.9764 \pm 0.0033,0.9639 \pm 0.0016,0.8242 \pm 0.0089,0.7263 \pm 0.0111,,,,,,,,,
RGB,direct_transfer,w/o,0.8175 \pm 0.0330,0.8984 \pm 0.0267,0.8897 \pm 0.0214,0.6516 \pm 0.0249,0.5381 \pm 0.0249,,,,,,,,,
RGB,direct_transfer,CRF,0.7951 \pm 0.0354,0.9051 \pm 0.0281,0.8941 \pm 0.0224,0.6577 \pm 0.0268,0.5514 \pm 0.0266,,,,,,,,,
RGB,fine_tune,w/o,0.8890 \pm 0.0128,0.9749 \pm 0.0022,0.9639 \pm 0.0015,0.8252 \pm 0.0044,0.7248 \pm 0.0057,,,,,,,,,
