C. Space,Post.,SEN,SPE,ACC,DIC,JAC
HSV,w/o,0.8125 \pm 0.0177,0.9685 \pm 0.0044,0.9230 \pm 0.0025,0.8229 \pm 0.0065,0.7329 \pm 0.0075
HSV,CRF,0.7945 \pm 0.0184,0.9710 \pm 0.0041,0.9233 \pm 0.0026,0.8198 \pm 0.0086,0.7319 \pm 0.0097
LAB,w/o,0.8079 \pm 0.0198,0.9719 \pm 0.0043,0.9256 \pm 0.0029,0.8286 \pm 0.0091,0.7398 \pm 0.0105
LAB,CRF,0.7613 \pm 0.0271,0.9717 \pm 0.0044,0.9240 \pm 0.0036,0.8036 \pm 0.0183,0.7107 \pm 0.0196
RGB,w/o,0.8141 \pm 0.0204,0.9718 \pm 0.0054,0.9245 \pm 0.0045,0.8308 \pm 0.0092,0.7425 \pm 0.0115
RGB,CRF,0.7938 \pm 0.0204,0.9741 \pm 0.0049,0.9244 \pm 0.0045,0.8258 \pm 0.0109,0.7386 \pm 0.0133
RGB-HSV,w/o,0.8188 \pm 0.0149,0.9680 \pm 0.0035,0.9258 \pm 0.0031,0.8298 \pm 0.0094,0.7410 \pm 0.0106
RGB-HSV,CRF,0.8003 \pm 0.0148,0.9701 \pm 0.0033,0.9260 \pm 0.0031,0.8262 \pm 0.0110,0.7397 \pm 0.0119
RGB-LAB,w/o,0.8199 \pm 0.0222,0.9706 \pm 0.0063,0.9258 \pm 0.0042,0.8340 \pm 0.0093,0.7470 \pm 0.0109
RGB-LAB,CRF,0.8007 \pm 0.0222,0.9725 \pm 0.0062,0.9256 \pm 0.0043,0.8292 \pm 0.0110,0.7434 \pm 0.0128
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
